Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
12,F,5,18,t,t,n,0.5115,5
12,F,9,18,t,t,s,0.522,5
13,F,1,24,t,t,h,0.4885,5
13,F,5,24,t,t,n,0.5715,5
13,F,9,24,t,t,s,0.5805,5
14,M,1,21,t,t,h,0.9045,5
14,M,5,21,t,t,n,0.5395,5
14,M,9,21,t,t,s,0.7565,5
15,F,1,18,t,t,h,0.783,5
15,F,5,18,t,t,n,0.742,5
15,F,9,18,t,t,s,0.5735,5
16,F,1,23,t,t,h,1.063,5
16,F,5,23,t,t,n,0.754,5
16,F,9,23,t,t,s,0.6825,5
17,F,1,18,t,t,h,0.365,5
17,F,5,18,t,t,n,0.786,5
17,F,9,18,t,t,s,0.368,5
18,F,1,20,t,t,h,1.0875,5
18,F,5,20,t,t,n,0.845,5
18,F,9,20,t,t,s,0.4975,5
19,F,1,19,t,t,h,0.51,5
19,F,5,19,t,t,n,0.3715,5
19,F,9,19,t,t,s,0.608,5
20,F,1,20,t,t,h,0.5055,5
20,F,5,20,t,t,n,0.6465,5
20,F,9,20,t,t,s,0.1935,5
21,F,1,20,t,t,h,0.8775,5
21,F,5,20,t,t,n,0.724,5
21,F,9,20,t,t,s,0.607,5
22,M,1,22,t,t,h,0.8715,5
22,M,5,22,t,t,n,0.4855,5
22,M,9,22,t,t,s,0.5525,5
23,F,1,21,t,t,h,0.618,5
23,F,5,21,t,t,n,0.69,5
23,F,9,21,t,t,s,0.5875,5
24,M,1,21,t,t,h,0.7555,5
24,M,5,21,t,t,n,0.573,5
24,M,9,21,t,t,s,0.8395,5
25,F,1,19,t,t,h,1.2475,5
25,F,5,19,t,t,n,1.2095,5
25,F,9,19,t,t,s,0.638,5
26,F,1,20,t,t,h,0.796,5
26,F,5,20,t,t,n,0.7345,5
26,F,9,20,t,t,s,0.7155,5
27,F,1,21,t,t,h,0.619,5
27,F,5,21,t,t,n,0.44,5
27,F,9,21,t,t,s,0.332,5
28,F,1,20,t,t,h,0.536,5
28,F,5,20,t,t,n,0.4815,5
28,F,9,20,t,t,s,0.313,5
29,M,1,21,t,t,h,0.5005,5
29,M,5,21,t,t,n,0.265,5
29,M,9,21,t,t,s,0.236,5
30,M,1,23,t,t,h,0.5125,5
30,M,5,23,t,t,n,0.7205,5
30,M,9,23,t,t,s,0.3925,5
31,F,1,21,t,t,h,0.6435,5
31,F,5,21,t,t,n,0.7265,5
31,F,9,21,t,t,s,0.532,5
32,F,1,20,t,t,h,0.3325,5
32,F,5,20,t,t,n,0.4885,5
32,F,9,20,t,t,s,0.3895,5
33,M,1,19,t,t,h,0.563,5
33,M,5,19,t,t,n,0.637,5
33,M,9,19,t,t,s,0.5485,5
