Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
4,F,2,24,c,c,h,0.1121,4
4,F,3,24,d1,DD,h,0.03,4
4,F,4,24,d2,DD,h,0.0395,4
4,F,1,24,t,t,h,0.2485,4
5,F,2,19,c,c,h,0.0927,4
5,F,3,19,d1,DD,h,0.039,4
5,F,4,19,d2,DD,h,0.024,4
5,F,1,19,t,t,h,0.1685,4
6,F,2,19,c,c,h,0.0843,4
6,F,3,19,d1,DD,h,0.065,4
6,F,4,19,d2,DD,h,0.038,4
6,F,1,19,t,t,h,0.146,4
7,M,2,22,c,c,h,0.0612,4
7,M,3,22,d1,DD,h,0.03,4
7,M,4,22,d2,DD,h,0.066,4
7,M,1,22,t,t,h,0.0455,4
8,F,2,23,c,c,h,0.1082,4
8,F,3,23,d1,DD,h,0.034,4
8,F,4,23,d2,DD,h,0,4
8,F,1,23,t,t,h,0.214,4
9,F,2,23,c,c,h,0.0681,4
9,F,3,23,d1,DD,h,0.052,4
9,F,4,23,d2,DD,h,0.0235,4
9,F,1,23,t,t,h,0.0875,4
